id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5qNq3Nk1obyTJGjaMXGnuC,Built Differently,0b6qCdAWpAMUYdLQLbmOip,Pokelawls,2021-01-07T20:55:14Z,141270,2020-10-22,True,44,https://p.scdn.co/mp3-preview/78537e76fdfbd67224d94a1cf1dac0667e20d7d3?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2736535257703003a29882aef51,0.77,0.301,8,-17.604,1,0.271,0.626,0.0492,0.383,0.484,82.631,4
6NtQb0WuCZTmXCvUnxI0hu,Chemz,0uCCBpmg6MrPb1KY2msceF,Burial,2020-12-27T08:30:30Z,751479,2020-12-21,False,47,https://p.scdn.co/mp3-preview/9a91a139dde88135b4abeeb26c5eecf61798cc71?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27329c0b2d47d75f7c16b974617,0.622,0.897,1,-8.932,1,0.16,0.152,0.000997,0.373,0.506,145.97,4
1fagm2HRsIR9CVEtmj7XGF,#SzuperCsillagParaszt,4T8Mus8GCWPob9q7istw68,ScarcityBP,2020-12-24T09:33:54Z,225066,2015-10-16,True,38,https://p.scdn.co/mp3-preview/d5f101378746d85c76154abf13bd64731d8a1360?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273116fd6904f556c59801c3bdd,0.629,0.919,7,-2.954,1,0.305,0.0939,0,0.153,0.64,96.633,4
6F6VIAmrqiXgeAXycoHOs4,The War On Christmas Is Over (If You Buy It),30sqtiTKIb1oDve0SdYayT,Anti-Flag,2020-12-20T12:08:47Z,144000,2020-12-18,True,34,https://p.scdn.co/mp3-preview/0ba82bc456a3b8b3bc6cf003bfd93aa0e383e84a?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273dad25303f2c9b35ba56f606a,0.5,0.999,10,0.573,0,0.0847,0.00185,0,0.1,0.178,99.974,4
6PY5aUSub1xwqlDrA4aTyL,*Equip Sunglasses*,1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,2020-12-20T09:20:28Z,166000,2020-03-06,True,54,https://p.scdn.co/mp3-preview/8b322d18fb1433db48c1e070bfdc0d59c5b75b7f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273c8828bc0210254a8ceea6737,0.628,0.966,8,-3.35,1,0.0633,0.000732,0,0.0189,0.91,120.008,4
0h6vLT1rLneoc5I4sOxvB1,Ohms,6Ghvu1VvMGScGpOUJBAHNH,Deftones,2020-12-20T09:16:11Z,250222,2020-09-25,False,57,https://p.scdn.co/mp3-preview/546a9cf48f34ca1446307bfc9d44c171f2d1098d?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27366c9f5d6f13bfc9abedc1056,0.112,0.978,4,-2.64,1,0.117,0.000108,0.0241,0.117,0.371,173.097,3
4vAlvXeR4ZeIvdsIrlTcWF,Infected,6fmbbxNvgHkglIakp1Wrv4,Spineshank,2020-12-19T21:03:30Z,255306,2020-07-24,False,48,https://p.scdn.co/mp3-preview/d560c1ea334fc75aae4631a462330198c48e4a11?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273bb26a7dafb07bf57d7f8a17d,0.557,0.944,3,-5.451,1,0.0407,8.49e-05,0.515,0.259,0.623,119.797,4
5bl2pNsPhMT37RkDUa57Ab,Our House (The Mess We Made),1kNQXvepPjaPgUfeDAF2h6,You Me At Six,2020-12-19T14:00:19Z,220528,2020-02-12,False,58,https://p.scdn.co/mp3-preview/4cf16d10b2863a51301ad0f50920e63b051713c0?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273c900ad2b089a1f47cda3bcba,0.633,0.766,0,-6.696,1,0.0445,0.00791,0.00292,0.253,0.394,133.017,4
5WSvknXP7Xm9CwuWcWE10s,Daráló Eldorádó,7fReaEcIIf6qQ4f7Ot0mhl,Dé:Nash,2020-12-18T15:38:53Z,262432,2020-12-17,True,31,https://p.scdn.co/mp3-preview/faa9c678eaa656efc6a7617656c21c95d26d7ede?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27349044113fef8eb691917e4d1,0.836,0.776,2,-4.528,1,0.175,0.344,0,0.355,0.514,118.041,4
1ieWeAkwgyUVQpU8sfvqcA,Animal In Me,4fnono0JCZFAeeaecrI7kg,Solence,2020-12-17T22:23:10Z,187321,2020-08-13,True,56,https://p.scdn.co/mp3-preview/b61983a2210be225d658ab1cb15080ad9ef3fad6?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273de1caa800474a15bd594511d,0.507,0.881,5,-5.491,0,0.109,0.00016,0.00132,0.23,0.557,148.074,4
