id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url
1AO273oogzWXHmXckUHipk,Talk,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,2021-02-27T10:19:55Z,264030,2019-06-21,False,37,https://p.scdn.co/mp3-preview/78c04d25561ff5ee0bff9a6df6297bfa41bb30ae?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730c5a7d464efdf56405c084a0
3BM9q7X1x6KjnozxDV1VlD,King Kong,52NOvMXEjgf8MQl0qop2dl,Pigeons Playing Ping Pong,2021-02-23T12:32:02Z,241704,2020-01-24,False,30,https://p.scdn.co/mp3-preview/bf2c6e65f9932fcb8fd483ab9f255be5cddcfaf6?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27341c0618ab47a381b8039f2ea
6linlPbVWEecMEMfNcul1e,Senor Mouse,4iovNkf44dsELmo3E7XSKX,Gary Burton,2021-02-23T12:19:44Z,377706,1973-04-16,False,53,https://p.scdn.co/mp3-preview/22531d8bf4e98b875de9b739731e27ecab43bc8f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2edcbbf05823b266c2dcf49
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,2021-02-13T17:59:47Z,132780,2021-01-06,False,94,https://p.scdn.co/mp3-preview/2e22af4d4df81ad154adfb8fa6b1ab7f030e33db?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27384350b406522fc53c1b2a621
1dI77VhaLcQSgQLSnIs03D,Levitating,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2021-01-22T16:11:09Z,203807,2020-03-27,False,64,https://p.scdn.co/mp3-preview/15e65d052d726b0b7dd4bbff82a02a0537e3995b?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ba1fe13f70fffa7430cb3cd1
7toYVidBIpAmM8Ife3LGrP,Physical,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2021-01-22T16:11:05Z,193829,2020-03-27,False,62,https://p.scdn.co/mp3-preview/fa1eb265d7f5a5c0e13b9038f77772ad17ad74ec?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ba1fe13f70fffa7430cb3cd1
4LihUZcWy0B6lGLqcJ8u9B,New Rules,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2021-01-16T08:01:35Z,212000,2017-06-02,False,61,https://p.scdn.co/mp3-preview/fa38010d4781ba002a495c7da20c5cbd66d83a7b?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2738273394e70d47a9f76a6678f
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2021-01-16T08:01:25Z,183290,2019-10-31,False,84,https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520
0g6NRQZ2J3d3G9B8CoB3GD,the tryst after death,6LtwY43IVeNpnireOVay0H,the olllam,2021-01-14T17:28:25Z,375200,2012-09-25,False,35,https://p.scdn.co/mp3-preview/1f9b9643cd35f28b50a2c3e6cfd7a4e2652f0606?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273739d8bbf93ed3d289219a15d
2CCzZYCwAJ8l147yQRNMC6,Funktionality,1oYScdotTIXO74h10l8ISA,Redtenbacher's Funkestra,2021-01-14T17:15:59Z,187276,2015-01-27,False,33,https://p.scdn.co/mp3-preview/957511876911015965bab1764c564bb522c48adc?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2732e9fd1e9412b1e48746a9a96
1Nz4KHTLNnnc2Wl6teppUR,Ready?,4ZBnxeDmHTLJZPQWmbINhu,MIDORINOMARU,2021-01-14T17:05:03Z,275251,2019-08-21,False,35,https://p.scdn.co/mp3-preview/d8f27356048c4ba48ddebe2ac6e0fec777854335?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734a462cf7ba683addb9944997
5AtCFLGZKrv4FAf5L95EZr,Land Animal,69f5J6OIgAP1G54zQfesv1,Bent Knee,2021-01-14T16:48:51Z,313613,2017-06-23,False,31,https://p.scdn.co/mp3-preview/be3d9ec83af2b7a2a2654ba5545309a1f033a22c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273b3e6b1494af0def99c9d80f0
1L5Jd46CLTKNcfq0HHolCF,Five in the Morning,19lQ2rJLlP71FOKESiMNJT,Ripe,2021-01-14T16:42:07Z,190026,2020-01-10,False,47,https://p.scdn.co/mp3-preview/efb4def7d7f20f89e557a5532fe991604d91609d?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734dfe7356c534655c28e421b1
22UDw8rSfLbUsaAGTXQ4Z8,American Boy,5T0MSzX9RC5NA6gAI6irSn,Estelle,2020-12-25T21:41:25Z,284733,2008-03-28,True,79,https://p.scdn.co/mp3-preview/c5ee61bf5c6c01d923aec35b6f52df76ac651bfb?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273b0b30ef77be3523c8018810c
1ZqeykOaDmjkldzs7XGR4b,Where Angels Fear To Tread,6nS5roXSAGhTGr34W6n7Et,Disclosure,2020-12-23T15:56:56Z,225906,2018-08-20,False,61,https://p.scdn.co/mp3-preview/85d9af0c389bdf296770a182a7d71940aed29b75?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27358742932108a66bf62da9daa
3Hdyew44QadRbxJx5f3T3D,Something About Us,5dHfLBNU8zoypgKefzEB1c,Pomplamoose,2020-12-23T15:13:39Z,217682,2020-05-05,False,41,https://p.scdn.co/mp3-preview/72dc2c363a440cdcf96c6c1f32b7aa973d17f19c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273031d236bb620bc6415248cb3
0KEnFRGX87MPrH0FOAAkmw,Lights,2s2izwM5DBKt4BkK00CEnw,Brother Zulu,2020-12-23T15:12:01Z,257020,2020-04-08,False,40,https://p.scdn.co/mp3-preview/2c4ea488292551bfde07dd8625b917a1da9f4e9a?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27344d6c931bab0bf7015a54eef
14dCt3xXZvmoqorYnxspSj,Youniverse,5ZOKvzD4GQ7Yg2CS4CVbRb,Tee Lopes,2020-12-23T14:48:26Z,282616,2018-12-16,False,35,https://p.scdn.co/mp3-preview/4408a655a60fea3b195c97927360e6abb24d9aa3?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273340db6ce65ea029528457f5a
5SWDPgL0V0z52CsbvPEOVF,Better,5Kd7e5lauV4CDdTHm5uiJH,corto.alto,2020-12-23T14:36:01Z,249294,2019-08-16,True,31,https://p.scdn.co/mp3-preview/88d5ea66f5a4363a4eb4c2fe473a9fd10c6d71c7?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734a7a64372babf5004a871d36
