id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1AO273oogzWXHmXckUHipk,Talk,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,2021-02-27T10:19:55Z,264030,2019-06-21,False,37,https://p.scdn.co/mp3-preview/78c04d25561ff5ee0bff9a6df6297bfa41bb30ae?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730c5a7d464efdf56405c084a0,0.756,0.776,4,-5.873,1,0.0746,0.00832,0.00128,0.15,0.807,122.982,4
3BM9q7X1x6KjnozxDV1VlD,King Kong,52NOvMXEjgf8MQl0qop2dl,Pigeons Playing Ping Pong,2021-02-23T12:32:02Z,241704,2020-01-24,False,30,https://p.scdn.co/mp3-preview/bf2c6e65f9932fcb8fd483ab9f255be5cddcfaf6?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27341c0618ab47a381b8039f2ea,0.644,0.899,11,-3.747,0,0.0741,0.113,0.00484,0.0793,0.846,128.729,4
6linlPbVWEecMEMfNcul1e,Senor Mouse,4iovNkf44dsELmo3E7XSKX,Gary Burton,2021-02-23T12:19:44Z,377706,1973-04-16,False,53,https://p.scdn.co/mp3-preview/22531d8bf4e98b875de9b739731e27ecab43bc8f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2edcbbf05823b266c2dcf49,0.456,0.205,11,-19.74,0,0.0452,0.952,0.889,0.101,0.31,111.5,4
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,2021-02-13T17:59:47Z,132780,2021-01-06,False,94,https://p.scdn.co/mp3-preview/2e22af4d4df81ad154adfb8fa6b1ab7f030e33db?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27384350b406522fc53c1b2a621,0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,4
1dI77VhaLcQSgQLSnIs03D,Levitating,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2021-01-22T16:11:09Z,203807,2020-03-27,False,64,https://p.scdn.co/mp3-preview/15e65d052d726b0b7dd4bbff82a02a0537e3995b?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ba1fe13f70fffa7430cb3cd1,0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,4
7toYVidBIpAmM8Ife3LGrP,Physical,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2021-01-22T16:11:05Z,193829,2020-03-27,False,62,https://p.scdn.co/mp3-preview/fa1eb265d7f5a5c0e13b9038f77772ad17ad74ec?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ba1fe13f70fffa7430cb3cd1,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,4
4LihUZcWy0B6lGLqcJ8u9B,New Rules,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2021-01-16T08:01:35Z,212000,2017-06-02,False,61,https://p.scdn.co/mp3-preview/fa38010d4781ba002a495c7da20c5cbd66d83a7b?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2738273394e70d47a9f76a6678f,0.763,0.72,9,-5.181,0,0.0691,0.00261,1.11e-05,0.114,0.592,116.01,4
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2021-01-16T08:01:25Z,183290,2019-10-31,False,84,https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,4
0g6NRQZ2J3d3G9B8CoB3GD,the tryst after death,6LtwY43IVeNpnireOVay0H,the olllam,2021-01-14T17:28:25Z,375200,2012-09-25,False,35,https://p.scdn.co/mp3-preview/1f9b9643cd35f28b50a2c3e6cfd7a4e2652f0606?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273739d8bbf93ed3d289219a15d,0.39,0.42,4,-10.649,0,0.0376,0.489,0.811,0.1,0.471,173.903,3
2CCzZYCwAJ8l147yQRNMC6,Funktionality,1oYScdotTIXO74h10l8ISA,Redtenbacher's Funkestra,2021-01-14T17:15:59Z,187276,2015-01-27,False,33,https://p.scdn.co/mp3-preview/957511876911015965bab1764c564bb522c48adc?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2732e9fd1e9412b1e48746a9a96,0.781,0.602,6,-5.061,0,0.039,0.0227,0.822,0.0745,0.743,100.063,4
1Nz4KHTLNnnc2Wl6teppUR,Ready?,4ZBnxeDmHTLJZPQWmbINhu,MIDORINOMARU,2021-01-14T17:05:03Z,275251,2019-08-21,False,35,https://p.scdn.co/mp3-preview/d8f27356048c4ba48ddebe2ac6e0fec777854335?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734a462cf7ba683addb9944997,0.592,0.736,0,-7.257,0,0.0295,0.202,0.723,0.14,0.679,101.054,4
5AtCFLGZKrv4FAf5L95EZr,Land Animal,69f5J6OIgAP1G54zQfesv1,Bent Knee,2021-01-14T16:48:51Z,313613,2017-06-23,False,31,https://p.scdn.co/mp3-preview/be3d9ec83af2b7a2a2654ba5545309a1f033a22c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273b3e6b1494af0def99c9d80f0,0.301,0.528,6,-7.859,1,0.0427,0.29,0.48,0.276,0.23,144.408,4
1L5Jd46CLTKNcfq0HHolCF,Five in the Morning,19lQ2rJLlP71FOKESiMNJT,Ripe,2021-01-14T16:42:07Z,190026,2020-01-10,False,47,https://p.scdn.co/mp3-preview/efb4def7d7f20f89e557a5532fe991604d91609d?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734dfe7356c534655c28e421b1,0.754,0.75,4,-6.349,0,0.0519,0.18,0.396,0.0665,0.809,114.968,4
22UDw8rSfLbUsaAGTXQ4Z8,American Boy,5T0MSzX9RC5NA6gAI6irSn,Estelle,2020-12-25T21:41:25Z,284733,2008-03-28,True,79,https://p.scdn.co/mp3-preview/c5ee61bf5c6c01d923aec35b6f52df76ac651bfb?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273b0b30ef77be3523c8018810c,0.727,0.729,0,-2.99,1,0.326,0.171,0,0.07,0.512,117.932,4
1ZqeykOaDmjkldzs7XGR4b,Where Angels Fear To Tread,6nS5roXSAGhTGr34W6n7Et,Disclosure,2020-12-23T15:56:56Z,225906,2018-08-20,False,61,https://p.scdn.co/mp3-preview/85d9af0c389bdf296770a182a7d71940aed29b75?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27358742932108a66bf62da9daa,0.679,0.735,2,-6.218,0,0.136,0.23,0.602,0.148,0.603,107.998,4
3Hdyew44QadRbxJx5f3T3D,Something About Us,5dHfLBNU8zoypgKefzEB1c,Pomplamoose,2020-12-23T15:13:39Z,217682,2020-05-05,False,41,https://p.scdn.co/mp3-preview/72dc2c363a440cdcf96c6c1f32b7aa973d17f19c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273031d236bb620bc6415248cb3,0.801,0.486,6,-6.373,0,0.0394,0.0491,0.00977,0.0697,0.965,96.01,4
0KEnFRGX87MPrH0FOAAkmw,Lights,2s2izwM5DBKt4BkK00CEnw,Brother Zulu,2020-12-23T15:12:01Z,257020,2020-04-08,False,40,https://p.scdn.co/mp3-preview/2c4ea488292551bfde07dd8625b917a1da9f4e9a?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27344d6c931bab0bf7015a54eef,0.797,0.484,1,-8.549,0,0.0494,0.46,0.0303,0.134,0.534,96.031,4
14dCt3xXZvmoqorYnxspSj,Youniverse,5ZOKvzD4GQ7Yg2CS4CVbRb,Tee Lopes,2020-12-23T14:48:26Z,282616,2018-12-16,False,35,https://p.scdn.co/mp3-preview/4408a655a60fea3b195c97927360e6abb24d9aa3?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273340db6ce65ea029528457f5a,0.703,0.686,0,-8.69,1,0.0346,0.00158,0.000636,0.123,0.572,106.994,4
5SWDPgL0V0z52CsbvPEOVF,Better,5Kd7e5lauV4CDdTHm5uiJH,corto.alto,2020-12-23T14:36:01Z,249294,2019-08-16,True,31,https://p.scdn.co/mp3-preview/88d5ea66f5a4363a4eb4c2fe473a9fd10c6d71c7?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734a7a64372babf5004a871d36,0.538,0.406,0,-8.653,1,0.0567,0.739,0.0556,0.0692,0.643,102.953,4
6HnZTppnliARy1ZkPZmjJV,Candlelight,7nC05zmJukRGYObQeRgg3x,Jack Savoretti,2020-12-03T19:35:17Z,271586,2019-03-15,False,40,https://p.scdn.co/mp3-preview/bac693a9593d4bb204e45b3f01b2fe51498d4d79?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273dd09e2775bf604aec0bed9fc,0.549,0.605,7,-5.815,0,0.0275,0.114,4.65e-06,0.2,0.403,82.068,4
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,0xRXCcSX89eobfrshSVdyu,MEDUZA,2020-09-15T21:59:02Z,152913,2019-02-01,False,81,https://p.scdn.co/mp3-preview/8755c18fb7a8908c166200d1b4d35639a9b07dd9?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ead13021d0f2957958081f28,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
