id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url
144adL7pGHEWRwute2wxzZ,Omen,4k1ELeJKT1ISyDv8JivPpB,The Prodigy,2024-02-26 19:16:26+00:00,216026,2009-02-23,False,64,https://p.scdn.co/mp3-preview/ccc487b24df8a5fcbe47fc6bbb581f29ae1085a5?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b273bce53a924b756cbaf8aa245c
2BzX8XhOY79AWC0gU1GQVl,Elegy - Strings,18oYqNtcLUHrqO7LfX7qni,Nicholas Britell,2024-02-22 19:17:38+00:00,151413,2023-05-29,False,42,https://p.scdn.co/mp3-preview/770b8d59bcd774aa655faff1dd4754aa3f078853?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b2736f85ddf6fbb47ddecd32b7ae
06Y7xgZFxikKwCrP6t8GT6,Impromptu No. 2 for Piano and Orchestra,18oYqNtcLUHrqO7LfX7qni,Nicholas Britell,2024-02-22 18:25:44+00:00,131426,2022-04-29,False,41,https://p.scdn.co/mp3-preview/e998c2e7c5b72527338f96ddc8287bc3013f82c0?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b2736d40664403c68c903e59c4f8
4mRN9JQKSnEsTUFnMTgiMM,“Tuscany” Suite for Piano and Bass,18oYqNtcLUHrqO7LfX7qni,Nicholas Britell,2024-02-22 18:23:37+00:00,121280,2022-04-29,False,40,https://p.scdn.co/mp3-preview/bb15d489e7dc2529a35ac27522293e02b02ce9f8?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b2736d40664403c68c903e59c4f8
2YkqwsGWBLMnztk4uIHejz,Sinfonietta in A Minor - Strings Variation - “The Photo”,18oYqNtcLUHrqO7LfX7qni,Nicholas Britell,2024-02-20 21:55:03+00:00,68066,2022-04-29,False,41,https://p.scdn.co/mp3-preview/7cef1ffe8a0f1d6d21719caa65fcd584f52ebd16?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b2736d40664403c68c903e59c4f8
709oP5Uhy3hQ8zmCjAa4c7,Impromptu No. 1 in C Minor for Piano,18oYqNtcLUHrqO7LfX7qni,Nicholas Britell,2024-02-20 21:27:20+00:00,333546,2022-04-29,False,40,https://p.scdn.co/mp3-preview/7e78b74188cef86efa35b1b758b244c34d60dc9d?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b2736d40664403c68c903e59c4f8
6S8A2hIs3iqFnn3ZdQGg68,Kitartást,7JOS2dpikWR1qxVZfLbKju,Pogány Induló,2024-02-13 23:21:31+00:00,138883,2024-02-02,True,61,https://p.scdn.co/mp3-preview/b77360084db7079f06e5eabbc4b2be92638d38e9?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b2733b668d686dd3adbf0970e377
2zIijzos3rNY6DkvX2ZYDX,Úgy Hiszem,7JOS2dpikWR1qxVZfLbKju,Pogány Induló,2024-02-12 20:18:12+00:00,199183,2024-02-02,True,64,https://p.scdn.co/mp3-preview/aa40a390d09cb569c79915d6f3b4b17c482abe67?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b2733b668d686dd3adbf0970e377
1qvYN2n4XyOtZaCg7P8lBl,Budapest Parliament Freestyle,6T2yephqss2R5uK7CmfLgo,Jaber,2024-02-08 23:48:00+00:00,167500,2023-02-03,True,27,https://p.scdn.co/mp3-preview/5e7e6211a2377e25f234aa6a5d4513dcd407c906?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b273f29f492e4461adc88d4f182d
2e9K91inKTJI05yFFVjyVi,Fienduló,7JOS2dpikWR1qxVZfLbKju,Pogány Induló,2024-01-31 18:37:10+00:00,172774,2023-02-25,True,50,https://p.scdn.co/mp3-preview/9b7555072199865fc338bad892994318941915b3?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b27317346f887d2627682648ed9a
6WBuRbov384zl6wPJ49piD,Rizikó,4aXeIRAbV0aEn0NZVImnqO,Kolg8eight,2024-01-31 18:10:28+00:00,224697,2023-02-03,True,53,https://p.scdn.co/mp3-preview/e6401003a19f150f67d5aa1ee432a130b98186d7?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b2739ea96feb6e87bdfef34fa001
00YU94LCvdDLplDmXCu9UO,International - Skrillex Remix,3jNkaOXasoc7RsxdchvEVq,Chase & Status,2024-01-22 16:44:56+00:00,239667,2013-01-01,False,46,https://p.scdn.co/mp3-preview/4290f65b714f7cb0d2e17fa78ddd9130d04cd563?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b273c460f3f5b73ce47ff4104612
2g3JAKjKruTL40VffoGLmg,Blue Sunday,22WZ7M8sxp5THdruNY3gXt,The Doors,2024-01-21 20:47:06+00:00,132949,1970-02-09,False,56,https://p.scdn.co/mp3-preview/de6fdf76d65fdb951dacbd773168cf661ddc00e1?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b273f12a8a7e0b2cbe16d2bef4dc
