id,name,album_id,album_name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0DiWol3AO6WpXZgp0goxAV,One More Time,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,320357,2001-03-12,False,86,https://p.scdn.co/mp3-preview/c27897e8eb4c0910e052c9beb6711432f3630879?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.611,0.697,2,-8.618,1,0.133,0.0193,0,0.332,0.476,122.752,4
3H3cOQ6LBLSvmcaV7QkZEu,Aerodynamic,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,212546,2001-03-12,False,86,https://p.scdn.co/mp3-preview/0b465e3af69726333fa83664251f18c315147404?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.624,0.911,7,-7.482,1,0.0524,0.328,0.861,0.0727,0.135,122.902,4
2VEZx7NWsZ1D0eJ4uv5Fym,Digital Love,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,301373,2001-03-12,False,86,https://p.scdn.co/mp3-preview/7079f6d7bc465f71971454808d5039b35bd3fd2f?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.644,0.664,9,-8.398,1,0.0333,0.0481,0.862,0.342,0.53,124.726,4
5W3cjX2J3tjhG8zb6u0qHn,"Harder, Better, Faster, Stronger",2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,224693,2001-03-12,False,86,https://p.scdn.co/mp3-preview/92a04c7c0e96bf93a1b1b1cae7dfff1921969a7b?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.475,4
6vuPZX9fWESg5js2JFTQRJ,Crescendolls,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,211640,2001-03-12,False,86,https://p.scdn.co/mp3-preview/fee6c10c066c9c0082d933f38b9c0df538268ea3?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.696,0.75,5,-8.503,0,0.0721,0.0035,0.922,0.0889,0.937,124.048,4
63JXZZRbmzooashakb0zbu,Nightvision,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,104466,2001-03-12,False,86,https://p.scdn.co/mp3-preview/85079b86f79e7633be355f9bdf3457d1dcd506cf?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.491,0.186,0,-29.512,1,0.0321,0.845,0.916,0.109,0.457,119.881,4
186hvCTyrni4KT9nwIQ7zS,Superheroes,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,237800,2001-03-12,False,86,https://p.scdn.co/mp3-preview/4cd9e3e37f094b7aa832ae0af470e35c75c0e141?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.619,0.739,11,-8.204,0,0.0792,0.00405,0.00346,0.102,0.675,140.875,4
098ttCNmncrO4YvqWUNMvn,High Life,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,201800,2001-03-12,False,86,https://p.scdn.co/mp3-preview/3f20f5c316447f6e20715af9521185d73d6d0305?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.653,0.869,8,-9.393,1,0.216,0.00445,0.398,0.334,0.515,125.202,4
1NeLwFETswx8Fzxl2AFl91,Something About Us,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,232666,2001-03-12,False,86,https://p.scdn.co/mp3-preview/a375c0a23d437a92c225a058d83d355b42042a89?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,4
7cMFjxhbXBpOlais7KMF3j,Voyager,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,227866,2001-03-12,False,86,https://p.scdn.co/mp3-preview/48d1a1cb5f02271cad36696f1686a95bf9884e21?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.669,0.743,7,-11.488,1,0.0494,0.282,0.803,0.309,0.279,119.882,4
2LD2gT7gwAurzdQDQtILds,Veridis Quo,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,345186,2001-03-12,False,86,https://p.scdn.co/mp3-preview/9b0e7ed1306cba5da22f4b963510b4c030567206?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.604,0.687,9,-13.928,0,0.045,0.479,0.95,0.104,0.119,106.896,4
4npMbTuxrUA3Wd7edACZ2L,Short Circuit,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,206866,2001-03-12,False,86,https://p.scdn.co/mp3-preview/2fd203d83e1c43c87a131b57148098433380fc48?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.535,0.558,6,-10.756,1,0.0741,0.00461,0.824,0.0821,0.215,109.69,4
