id,name,artist_id,artist_name,playlist_name,playlist_id,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
144JMbvbR5txNzoZ112wo4,Strong Enough,songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,72OaDtakiy6yFqkt4TsiFt,Cher,2020-12-11T22:58:57Z,224000,1998,False,67,https://p.scdn.co/mp3-preview/31f7b7878cbcad46832c8154056e23d1526463d0?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27361c83e0a3e42be611729c840,0.593,0.923,0,-6.19,1,0.101,0.0495,0,0.29,0.587,124.862,4
3UmaczJpikHgJFyBTAJVoz,Stan,songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2020-12-11T22:59:29Z,404106,2000-05-23,True,79,https://p.scdn.co/mp3-preview/bf13d42615a883ac55907ff694c267b2494a2376?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,4
52K4Nl7eVNqUpUeJeWJlwT,Break the Ice,songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,26dSoYclwsYLMAKD3tpOr4,Britney Spears,2020-12-11T22:59:46Z,196053,2007-10-25,False,62,https://p.scdn.co/mp3-preview/a5c041032efd01ccc689c781b2e7342d2cd9139a?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273ca10fae7d292c52f7e8b11ca,0.712,0.911,5,-3.866,0,0.0445,0.689,8.02e-06,0.107,0.85,117.533,4
60a0Rd6pjrkxjPbaKzXjfq,In the End,songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2020-12-11T22:59:54Z,216880,2000-10-24,False,84,https://p.scdn.co/mp3-preview/6ce8bcf317e8c562f348ea22c846846b5b70e8d9?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
6I9VzXrHxO9rA9A5euc8Ak,Toxic,songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,26dSoYclwsYLMAKD3tpOr4,Britney Spears,2020-12-11T23:00:02Z,198800,2003-11-13,False,82,https://p.scdn.co/mp3-preview/8465386fd6ce10f7ae3bd9c907825d7cb955ade0?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273efc6988972cb04105f002cd4,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
4Hff1IjRbLGeLgFgxvHflk,DARE,songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2020-12-11T23:00:16Z,244999,2005-05-23,False,74,https://p.scdn.co/mp3-preview/6ea35c0521ab0de6cddba222138e578039410b5e?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf,0.76,0.891,11,-5.852,0,0.0372,0.0226,0.0868,0.298,0.966,120.265,4
3pD0f7hSJg2XdQ6udw5Tey,What Goes Around.../...Comes Around (Interlude),songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,31TPClRtHm23RisEBtV3X7,Justin Timberlake,2020-12-11T23:00:31Z,448573,2006-09-12,False,71,https://p.scdn.co/mp3-preview/f6f07bf44c8293d4ef5aa1bd76d0ef5ab8713775?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273c6ba98fd3f3b396a6c6f7091,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.573,0.432,76.0,4
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,6deZN1bslXzeGvOLaLMOIF,Nickelback,2020-12-11T23:00:44Z,223840,2001-09-11,False,79,https://p.scdn.co/mp3-preview/bce58ffc6c70e0fcf2f2c0228f794743a07569ab?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273699a422d25adc550dc5aa11c,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,4
10FP9hm2aFfAIKEopqaG9D,Can't Fight The Moonlight,songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,2d3VHzlOEwXvmBdS4pzOPL,LeAnn Rimes,2020-12-11T23:00:57Z,215506,2000-08-01,False,60,https://p.scdn.co/mp3-preview/84b0ad9f6dddec182acb3e52fd9c1b97567c5ffb?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2730df4a8d51ecfeaefc53681ea,0.628,0.834,6,-6.341,0,0.0497,0.403,0,0.051,0.626,97.865,4
5iyE2d4U3Vc5cqY9mPTlpy,LoveStoned / I Think She Knows (Interlude),songs from your lost mp3 player,4HwdAT0Fb7wcR1xiNXdvT7,31TPClRtHm23RisEBtV3X7,Justin Timberlake,2020-12-11T23:01:09Z,444333,2006-09-12,True,57,https://p.scdn.co/mp3-preview/6996de3cada0ca279c4854254dd1969a3ab60379?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273c6ba98fd3f3b396a6c6f7091,0.859,0.681,1,-6.247,1,0.0549,0.34,0.000161,0.213,0.852,121.243,4
