id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0oks4FnzhNp5QPTZtoet7c,Giorgio by Moroder,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2020-11-27T12:21:24Z,544626,2013-05-17,False,71,https://p.scdn.co/mp3-preview/534cabcdaafed760cb64f02c45eee6ca5e8e9b3e?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,4
2cGxRwrMyEAp8dEbuZaVv6,Instant Crush (feat. Julian Casablancas),4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2020-11-27T12:21:24Z,337560,2013-05-17,False,80,https://p.scdn.co/mp3-preview/df572a412d8737b2579169fd8b58786a8c8f2f2d?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,4
0dEIca2nhcxDUV8C5QkPYb,Give Life Back to Music,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2020-11-27T12:21:24Z,275386,2013-05-17,False,69,https://p.scdn.co/mp3-preview/29c9a5d90d26a12c9dd360aabc1d23b1d6435242?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,0.788,0.616,9,-10.671,0,0.0337,0.00286,0.549,0.0952,0.696,119.037,4
5CMjjywI0eZMixPeqNd75R,Lose Yourself to Dance (feat. Pharrell Williams),4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2020-11-27T12:21:24Z,353893,2013-05-17,False,75,https://p.scdn.co/mp3-preview/24e8d6ba5f91d46782dc44ca9eb44db18b1fc897?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,4
3ctALmweZBapfBdFiIVpji,The Game of Love,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2020-11-27T12:21:24Z,322146,2013-05-17,False,66,https://p.scdn.co/mp3-preview/1e5a670489a065dfac8bb58b8e27106ebd6b8e29?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,0.712,0.5,9,-11.948,0,0.0338,0.825,0.314,0.106,0.682,90.039,4
574ILV8PiK3CpAUMVz7nNM,August 10,2mVVjNmdjXZZDvhgQWiakk,Khruangbin,2020-11-27T12:21:24Z,265410,2018-01-26,False,55,https://p.scdn.co/mp3-preview/9c353240c5d8c78a087d738a6eb13e3896b9ec94?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273811309a5bbc336e25df4e2ed,0.597,0.402,4,-12.585,0,0.038,0.0151,0.887,0.17,0.744,82.176,4
2M5xIJ2GySzBSKjhKdkjUL,3. Stock,23xqmJEN3oVxwzqtNIyR5m,AnnenMayKantereit,2020-11-27T12:21:24Z,252466,2016-03-18,False,50,https://p.scdn.co/mp3-preview/907e8daa23a93185184a8b57bb3d04cab5f131c5?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27353368d5c0af58c7a9000ea4a,0.568,0.303,9,-10.302,0,0.0298,0.435,1.43e-05,0.117,0.269,112.397,3
4anzVbFPUuZTw0KQeZ0qnu,WAS ICH LIEBE,6wWVKhxIU2cEi0K81v7HvP,Rammstein,2020-11-27T12:21:24Z,269045,2019-05-17,False,60,https://p.scdn.co/mp3-preview/94f17df320f17c3389775ee3b3de4c8a7a3c376d?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27302add2c77fb6999e311a3248,0.571,0.665,2,-4.953,1,0.044,0.001,0.0621,0.0874,0.582,172.005,4
7Bxv0WL7UC6WwQpk9TzdMJ,Within,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2020-11-27T12:21:24Z,228506,2013-05-17,False,67,https://p.scdn.co/mp3-preview/5e6d91adada11bca669d801169952267604b9097?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,0.702,0.297,10,-14.116,0,0.0317,0.894,0.485,0.103,0.0676,110.116,4
2EFuKYBalAcplMyUVL3BDH,Maria También,2mVVjNmdjXZZDvhgQWiakk,Khruangbin,2020-11-27T12:21:24Z,190999,2018-01-26,False,54,https://p.scdn.co/mp3-preview/00a3a677af5128051ccb774c0fcde1ce25ca5e8e?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273811309a5bbc336e25df4e2ed,0.746,0.632,6,-7.32,0,0.0462,0.00252,0.859,0.542,0.858,103.612,4
0JH8lNgLJhdSHyWMKuxdVW,You & Me - Live in Paris,1z5xbcOeFRQXBVDpvRPh8H,MEUTE,2020-11-27T12:21:24Z,311319,2019-10-04,False,33,https://p.scdn.co/mp3-preview/2cc8838926c4383cf383fc75d7207630c1cba0db?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273bbeea7672fa96a524327ff30,0.512,0.46,10,-11.353,0,0.0287,0.636,0.0243,0.848,0.181,74.836,4
3LnnQ6LxcWosjweeJ3Emzs,Vegyetek jót ha tudtok,6fXPelw8Z7kOBY0waHAdwO,Nks,2020-11-27T12:21:24Z,269333,2019-11-30,True,46,https://p.scdn.co/mp3-preview/ea364beb429ceee9339ac3727b7d8f93aa668b8d?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273c43bb8efb2bd528ed4c5487e,0.678,0.79,4,-3.914,1,0.331,0.283,0,0.302,0.884,89.849,4
7oaEjLP2dTJLJsITbAxTOz,Touch (feat. Paul Williams),4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2020-11-27T12:21:24Z,498960,2013-05-17,False,69,https://p.scdn.co/mp3-preview/1469e37ce94e41d93a6e3777d313d5cb172d4dbc?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,0.29,0.412,6,-12.659,0,0.0458,0.477,0.0839,0.079,0.12,90.539,4
1RcKa3TDe9zGeb33BwqYGU,Lady and Man,2mVVjNmdjXZZDvhgQWiakk,Khruangbin,2020-11-27T12:21:24Z,258044,2018-01-26,False,48,https://p.scdn.co/mp3-preview/f9cad795341e6abbd4c8753ae1ebffefea2436b0?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273811309a5bbc336e25df4e2ed,0.728,0.691,7,-7.948,1,0.0583,0.000716,0.826,0.0913,0.905,82.204,4
1UZs9dauJnxrqYxMIzxnwC,DIAMANT,6wWVKhxIU2cEi0K81v7HvP,Rammstein,2020-11-27T12:21:24Z,154298,2019-05-17,False,58,https://p.scdn.co/mp3-preview/07f2ac3aab6388ccb0a1a3fadf61a28089bcbc3a?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27302add2c77fb6999e311a3248,0.347,0.272,0,-11.841,0,0.0375,0.813,2.37e-05,0.102,0.122,140.506,4
2xoIWF0kBUAkxwqtNV284R,Bitte bleib,23xqmJEN3oVxwzqtNIyR5m,AnnenMayKantereit,2020-11-27T12:21:24Z,281636,2016-03-18,False,43,https://p.scdn.co/mp3-preview/4e2df455de493f94bcc5518bde4722783cc26a5a?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27353368d5c0af58c7a9000ea4a,0.654,0.474,4,-7.668,0,0.0571,0.0339,0.00676,0.0701,0.431,117.824,4
69kOkLUCkxIZYexIgSG8rq,Get Lucky (feat. Pharrell Williams & Nile Rodgers),4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2020-11-27T12:21:24Z,369626,2013-05-17,False,76,https://p.scdn.co/mp3-preview/28c1195dcc64c65223ed1f439886d50f4ded7ba6?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.82e-06,0.072,0.863,116.049,4
3v9g8iM3v5irWQHqFWaDSo,Cómo Te Quiero,2mVVjNmdjXZZDvhgQWiakk,Khruangbin,2020-11-27T12:21:24Z,242536,2018-01-26,False,48,https://p.scdn.co/mp3-preview/6850182139cd8c47a30cf07cdddf7c2163070057?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273811309a5bbc336e25df4e2ed,0.608,0.277,7,-11.917,1,0.0282,0.622,0.896,0.498,0.437,126.501,4
0sMmtnF7by7WPNeRXCam9H,WEIT WEG,6wWVKhxIU2cEi0K81v7HvP,Rammstein,2020-11-27T12:21:24Z,260915,2019-05-17,False,57,https://p.scdn.co/mp3-preview/a48fe10cd20d0f1c4f9f139e07629c769e6ecc3e?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27302add2c77fb6999e311a3248,0.351,0.833,9,-5.109,1,0.0508,0.0112,0.000292,0.166,0.303,202.036,4
7ut4WJIDMSfA1jSFx8eb4i,"Mir wär' lieber, du weinst",23xqmJEN3oVxwzqtNIyR5m,AnnenMayKantereit,2020-11-27T12:21:24Z,197880,2016-03-18,False,45,https://p.scdn.co/mp3-preview/e21458f8de885df6ebda1776440c3e9fa3d6feb4?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27353368d5c0af58c7a9000ea4a,0.481,0.723,7,-8.735,1,0.0267,0.119,0.0271,0.0875,0.696,107.111,4
0k1xMUwn9sb7bZiqdT9ygx,Beyond,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2020-11-27T12:21:24Z,290240,2013-05-17,False,65,https://p.scdn.co/mp3-preview/cbea5e9ee5d06392321d3536f3e5af57d82e5d8b?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,0.716,0.648,8,-11.33,0,0.0337,0.367,0.485,0.368,0.789,104.022,4
4hxv2Z6JoMBNWNA7t1A3bU,Shades of Man,2mVVjNmdjXZZDvhgQWiakk,Khruangbin,2020-11-27T12:21:24Z,227148,2018-01-26,False,43,https://p.scdn.co/mp3-preview/f13e0be3865be5469fdc620b6505995a48fb9084?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273811309a5bbc336e25df4e2ed,0.661,0.497,4,-8.309,0,0.0605,0.0493,0.847,0.778,0.795,82.649,4
