id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0tRfOZnC9PX5ChVFCt1o0O,Last Walk,7daSp9zXk1dmqNxwKFkL35,Kupla,2021-02-15T14:50:25Z,152315,2020-07-31,False,37,,https://i.scdn.co/image/ab67616d0000b273c74753f3efd378d78fddad17,0.531,0.312,2,-14.19,0,0.111,0.951,0.72,0.132,0.11,77.034,4
4EWCM7S4DAtpSJ0BOiM9LK,legacy,7JPL3e4Dihj4HqwMU1RIZH,node: project,2020-01-28T09:48:28Z,249500,2019-04-21,False,57,https://p.scdn.co/mp3-preview/d1b6c4868ca9cab60a6dec92cba194f4a6eecd43?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d58e26990dbb4489494d33bc,0.0787,0.0286,0,-27.679,1,0.0469,0.945,0.952,0.112,0.117,185.948,4
5QDDmrz819WmzBeQHZNhor,A Match Made In Heaven,3ZztVuWxHzNpl0THurTFCv,Architects,2019-12-27T01:11:04Z,228017,2016-05-27,True,54,https://p.scdn.co/mp3-preview/496eb7d4070ff7b46c6179b2239675c5397aa080?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27374bf4548c7a108369d2f622a,0.517,0.977,7,-4.627,1,0.0741,4.97e-05,0.00129,0.105,0.135,121.503,4
2Mgw95kCwTc90H167xVHqu,Damnation,3ZztVuWxHzNpl0THurTFCv,Architects,2019-11-20T09:53:33Z,248666,2018-11-09,False,48,https://p.scdn.co/mp3-preview/f6c7445a8818aeb7e6413e27e4e2153502bcf84a?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730f08d4e55ebd266b7c3e8d74,0.391,0.978,1,-4.414,1,0.101,9.65e-05,0.000787,0.123,0.363,175.002,4
3Ekoo27CSzaWShdM43niUp,Dying To Heal,3ZztVuWxHzNpl0THurTFCv,Architects,2019-11-20T09:53:33Z,230840,2018-11-09,False,47,https://p.scdn.co/mp3-preview/cf826bde02045ee46e42e4522b2fed6d469cfe5b?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730f08d4e55ebd266b7c3e8d74,0.512,0.979,10,-4.173,0,0.0777,4.92e-05,0.000313,0.0794,0.249,94.993,4
7xpfgUe2sxoBx7CFygbTPg,Death Is Not Defeat,3ZztVuWxHzNpl0THurTFCv,Architects,2019-11-20T09:53:32Z,225040,2018-11-09,False,53,https://p.scdn.co/mp3-preview/a780e63317c1fd1e67263cb955b44cb4fb441c2c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730f08d4e55ebd266b7c3e8d74,0.495,0.929,8,-4.792,0,0.0526,0.000299,0.00131,0.114,0.222,95.013,4
50xyeJL2Hs9FDgtI1ROeB0,Royal Beggars,3ZztVuWxHzNpl0THurTFCv,Architects,2019-11-20T09:53:32Z,241586,2018-11-09,False,57,https://p.scdn.co/mp3-preview/9e1c3626c18bcc7c9a8d94d672a177aad741d65e?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730f08d4e55ebd266b7c3e8d74,0.376,0.87,11,-4.566,0,0.0578,0.000269,0.000373,0.128,0.132,178.111,4
1rMGbnh7zWGs8ME0mbuVai,Mortal After All,3ZztVuWxHzNpl0THurTFCv,Architects,2019-09-08T10:26:21Z,219773,2018-11-09,False,51,https://p.scdn.co/mp3-preview/a698e339d5de5789f9c91da16216200d2a6435d3?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730f08d4e55ebd266b7c3e8d74,0.443,0.991,11,-4.103,0,0.126,0.000263,0.00162,0.153,0.251,77.024,4
7z3Q4j4HJDSOZtbR5rbYdG,Holy Hell,3ZztVuWxHzNpl0THurTFCv,Architects,2019-09-08T10:26:21Z,253973,2018-11-09,True,53,https://p.scdn.co/mp3-preview/1751d0c31b33467b236b7de91d41c23b8ea9134f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730f08d4e55ebd266b7c3e8d74,0.537,0.972,7,-4.115,1,0.0512,8.92e-05,0.00449,0.256,0.236,105.019,4
75R95k0ICuZBFVEjBauOtt,Doomsday,3ZztVuWxHzNpl0THurTFCv,Architects,2019-09-08T10:26:21Z,248880,2018-11-09,False,61,https://p.scdn.co/mp3-preview/68cc0e98ac2631e9ea723dfee6f3d57caa30852b?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730f08d4e55ebd266b7c3e8d74,0.523,0.979,2,-4.214,1,0.159,2.62e-05,2.56e-05,0.153,0.179,125.038,4
